Year,Month,Week,Retail Code,Store Long Label,Turnover in EUR,Commercial Sales Quantity,Transactions (Scope Retail KPI),SPT in EUR,UPT
2022,February,W06,Q93,CLIENT SERVICE DENMARK,10 077,7,13,1 110,1
2022,April,W17,Q93,CLIENT SERVICE DENMARK,16 071,15,18,929,1
2022,June,W26,Q93,CLIENT SERVICE DENMARK,10 141,13,15,839,1
2022,April,W14,A90,CLIENT SERVICE FRANCE,187 844,269,225,889,1.24
2022,May,W21,A90,CLIENT SERVICE FRANCE,178 956,231,243,805,1.01
2022,June,W22,A90,CLIENT SERVICE FRANCE,118 908,139,156,865,1.01
2022,June,W26,A90,CLIENT SERVICE FRANCE,110 993,147,160,816,1.01
2022,July,W28,A90,CLIENT SERVICE FRANCE,154 474,166,177,919,1.01
2022,September,W36,A90,CLIENT SERVICE FRANCE,117 005,195,208,629,1.02
2022,October,W42,A90,CLIENT SERVICE FRANCE,30 067,48,46,690,1
2022,June,W22,J90,CLIENT SERVICE GER,88 702,95,137,964,1.01
2022,September,W39,J90,CLIENT SERVICE GER,118 567,150,195,835,1.02
2022,March,W10,F91,CLIENT SERVICE IRELAND,3 642,6,9,881,1
2022,April,W16,F91,CLIENT SERVICE IRELAND,15 561,17,15,1 037,1.07
2022,June,W22,F91,CLIENT SERVICE IRELAND,9 764,11,11,888,1
2022,June,W25,F91,CLIENT SERVICE IRELAND,7 102,8,9,869,1
2022,July,W30,F91,CLIENT SERVICE IRELAND,14 780,11,12,1 320,1
2022,July,W31,F91,CLIENT SERVICE IRELAND,3 309,3,3,1 103,1
2022,January,W03,H90,CLIENT SERVICE ITA,220 699,301,327,750,1
2022,July,W30,H90,CLIENT SERVICE ITA,211 236,244,246,890,1
2022,August,W34,H90,CLIENT SERVICE ITA,154 655,179,182,886,1.02
2022,September,W37,H90,CLIENT SERVICE ITA,168 897,199,205,866,1.01
2022,September,W39,H90,CLIENT SERVICE ITA,183 901,203,210,938,1.01
2022,October,W42,H90,CLIENT SERVICE ITA,51 795,53,53,989,1
2022,January,W04,A91,CLIENT SERVICE MONACO,329,1,1,329,1
2022,February,W07,A91,CLIENT SERVICE MONACO,3 171,2,2,1 585,1
2022,February,W08,A91,CLIENT SERVICE MONACO,1 667,1,1,1 667,1
2022,January,W02,I93,CLIENT SERVICE NETHERLAND ,49 926,58,69,799,1
